Gene,logFC,pvalue
BOC,1.283260634537059,4.242524700141248e-121
BACH2,1.3343372037133125,1.4711949802375833e-109
TSHZ2,1.3106795560517253,1.818477366279455e-107
PLA2G4A,0.9825590074009432,2.017013856165346e-105
CCDC80,1.296607553998422,4.896071149683721e-104
BHLHE22,1.274430900626812,1.4444530615169693e-102
FREM1,1.320720780765937,1.4605611628313493e-100
IGF1,1.2028245000754223,2.843618143863276e-100
MFAP4,1.2373316555493818,3.417244336284586e-100
ITM2A,1.21391588027233,1.416072406646804e-99
TRABD2A,1.163328631399816,3.2845181506122136e-99
COL14A1,1.197462358113194,4.408767582531865e-99
DMD,1.1376897770219865,4.585953572817671e-99
MAP1LC3C,1.2782201886157858,4.691708215784416e-99
ABCA6,1.2426278091103857,7.171468243040272e-99
C3,1.1572374546605007,8.060760500639717e-99
ABCA9,1.2110806974703565,1.5960989245033522e-97
ABCB1,1.1931059927385106,1.6182272185460416e-97
USP44,1.1252455124204033,3.4636241053195607e-97
GIPC2,1.2097728265761756,6.162978358303749e-97
SFRP1,1.0965148055490765,8.858007619312081e-96
ENPP2,1.2014278174461719,1.1654705031936893e-95
ABCD2,1.2433410008376566,1.3188807019088924e-95
STAC,0.9570949928100686,1.522580838193781e-95
BMP6,1.1207044838192037,1.9478838719949637e-95
ABI3BP,1.1862416285576867,4.3091620140664196e-95
FLRT2,1.2095629036754558,2.494744303380409e-94
TMEM200C,1.123696862521526,2.923858381027734e-94
RGMA,0.9667015177978314,1.0310306250858892e-93
ABCA8,1.2009382787391745,1.0668587927981283e-93
TACR1,1.1761397710046004,1.8320257962821964e-93
ALDH1A2,1.256711963858772,2.324330443327512e-93
JAML,1.1845763112520393,1.0297984073881649e-92
ITIH5,1.19542690410742,1.924147903590123e-92
PPP2R2B,1.221889765073171,8.342648703228727e-92
CH25H,1.2263120450770406,8.753421566174248e-92
LRRN4CL,1.190111093639893,1.333557219243576e-91
EGFR,1.0971016108836014,1.602063331526656e-91
SVEP1,1.1294427782340641,1.8422612036499705e-91
ALDH1A1,1.1963337019352245,7.834844051186826e-91
C1S,1.2659508705581732,1.4010291882150214e-90
