Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	T cell receptor signaling pathway	14/104	9.641686e-10	2.092246e-07	0	0	1.012661e+01	2.102260e+02	ITK;CD3G;CD3E;CD3D;PTPRC;CD40LG;CD8B;CD8A;LCK;GRAP2;CD28;PRKCQ;CD247;PAK3
KEGG_2021_Human	Cytokine-cytokine receptor interaction	21/295	1.013888e-08	1.100069e-06	0	0	5.060219e+00	9.314288e+01	CCL14;GDF10;NGFR;IL33;CCL23;XCR1;TNFSF14;TSLP;CCL21;CXCL2;BMP6;CD40LG;IL18RAP;LEPR;CD27;TNFRSF8;CCL19;CCR5;IL7R;CCR4;CCR2
KEGG_2021_Human	Hematopoietic cell lineage	12/99	5.140582e-08	3.718354e-06	0	0	8.921361e+00	1.497318e+02	CD2;CD8B;MME;CD8A;CD5;KIT;CD1E;CD3G;CD1C;IL7R;CD3E;CD3D
KEGG_2021_Human	Primary immunodeficiency	8/38	1.123315e-07	6.093986e-06	0	0	1.707275e+01	2.731949e+02	CD40LG;PTPRC;CD8B;CD8A;LCK;CD3E;IL7R;CD3D
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	11/100	5.063826e-07	2.197700e-05	0	0	7.967031e+00	1.154899e+02	CCL14;CCL23;IL18RAP;XCR1;TNFSF14;CCL21;CCL19;CCR5;CXCL2;CCR4;CCR2
KEGG_2021_Human	Cell adhesion molecules	13/148	6.519466e-07	2.357874e-05	0	0	6.233750e+00	8.878920e+01	CADM3;ICAM3;SELP;SPN;CLDN11;CD2;PTPRC;CD40LG;CD8B;CD6;CD8A;CD28;CLDN19
KEGG_2021_Human	Th1 and Th2 cell differentiation	9/92	1.469671e-05	4.555979e-04	0	0	6.946137e+00	7.729583e+01	LCK;TBX21;STAT4;CD3G;PRKCQ;CD247;CD3E;CD3D;RUNX3
KEGG_2021_Human	Focal adhesion	13/201	1.917155e-05	5.200284e-04	0	0	4.464228e+00	4.849081e+01	PDGFRA;TNXB;LAMA2;PRKCB;LAMA1;IGF1;EGFR;MYLK;RELN;TNN;COL6A6;FLNC;PAK3
KEGG_2021_Human	ABC transporters	6/45	7.067640e-05	1.596552e-03	0	0	9.781429e+00	9.348502e+01	ABCD2;ABCA10;ABCB1;ABCA6;ABCA9;ABCA8
KEGG_2021_Human	ECM-receptor interaction	8/88	7.466371e-05	1.596552e-03	0	0	6.385993e+00	6.068301e+01	TNXB;RELN;LAMA2;SV2B;TNN;LAMA1;COL6A6;FREM1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	8/89	8.093121e-05	1.596552e-03	0	0	6.306832e+00	5.942241e+01	LCK;CD28;CD3G;PRKCQ;CD247;CD3E;CD3D;EGFR
KEGG_2021_Human	Protein digestion and absorption	8/103	2.253328e-04	3.770368e-03	0	0	5.373564e+00	4.512683e+01	COL17A1;DPP4;SLC8A3;MME;COL14A1;XPNPEP2;ELN;COL6A6
KEGG_2021_Human	NF-kappa B signaling pathway	8/104	2.408259e-04	3.770368e-03	0	0	5.317318e+00	4.430090e+01	CD40LG;TNFSF14;CCL21;PRKCB;LCK;PRKCQ;CCL19;CXCL2
KEGG_2021_Human	Chemokine signaling pathway	11/192	2.432495e-04	3.770368e-03	0	0	3.899099e+00	3.244605e+01	CCL14;ITK;CCL23;XCR1;CCL21;PRKCB;CCL19;CCR5;CXCL2;CCR4;CCR2
KEGG_2021_Human	Th17 cell differentiation	8/107	2.926208e-04	4.233248e-03	0	0	5.155398e+00	4.194758e+01	IRF4;LCK;TBX21;PRKCQ;CD3G;CD247;CD3E;CD3D
KEGG_2021_Human	Viral myocarditis	6/60	3.564997e-04	4.835028e-03	0	0	7.058972e+00	5.604243e+01	CD40LG;LAMA2;LAMA1;PRF1;CD28;DMD
KEGG_2021_Human	PI3K-Akt signaling pathway	14/354	1.549980e-03	1.978504e-02	0	0	2.646375e+00	1.712076e+01	NGFR;PDGFRA;TNXB;LAMA2;LAMA1;IGF1;EGFR;FGF7;RELN;TNN;PPP2R2B;KIT;COL6A6;IL7R
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	7/131	4.764159e-03	5.604299e-02	0	0	3.585227e+00	1.916890e+01	PRKCB;LCK;SH2D1A;PRF1;CD48;CD247;CD244
KEGG_2021_Human	Calcium signaling pathway	10/240	4.906990e-03	5.604299e-02	0	0	2.773343e+00	1.474613e+01	SLC8A3;PTGFR;PDGFRA;FGF7;PRKCB;CAMK4;TACR1;HTR2A;EGFR;MYLK
KEGG_2021_Human	Amoebiasis	6/102	5.538377e-03	5.722989e-02	0	0	3.962176e+00	2.058768e+01	LAMA2;PRKCB;LAMA1;CD1E;CD1C;CXCL2
KEGG_2021_Human	Chagas disease	6/102	5.538377e-03	5.722989e-02	0	0	3.962176e+00	2.058768e+01	C3;PPP2R2B;CD3G;CD247;CD3E;CD3D
KEGG_2021_Human	Glioma	5/75	6.596926e-03	6.506968e-02	0	0	4.519585e+00	2.269352e+01	PDGFRA;PRKCB;CAMK4;IGF1;EGFR
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	4/53	9.646644e-03	9.101399e-02	0	0	5.154144e+00	2.392113e+01	SLC8A3;KLK1;PRKCB;PTH1R
KEGG_2021_Human	Hedgehog signaling pathway	4/56	1.166522e-02	1.054730e-01	0	0	4.856047e+00	2.161497e+01	DHH;BOC;GAS1;GLI1
KEGG_2021_Human	Hypertrophic cardiomyopathy	5/90	1.389983e-02	1.206505e-01	0	0	3.719165e+00	1.590270e+01	SLC8A3;LAMA2;LAMA1;DMD;IGF1
KEGG_2021_Human	JAK-STAT signaling pathway	7/162	1.446230e-02	1.207046e-01	0	0	2.863636e+00	1.213096e+01	PDGFRA;TSLP;FHL1;LEPR;STAT4;IL7R;EGFR
KEGG_2021_Human	Proteoglycans in cancer	8/205	1.625426e-02	1.306361e-01	0	0	2.577820e+00	1.061907e+01	HPSE2;PRKCB;MMP2;TWIST2;IGF1;FLNC;EGFR;DCN
KEGG_2021_Human	Dilated cardiomyopathy	5/96	1.792745e-02	1.389378e-01	0	0	3.472882e+00	1.396592e+01	SLC8A3;LAMA2;LAMA1;DMD;IGF1
KEGG_2021_Human	Allograft rejection	3/38	2.174408e-02	1.627057e-01	0	0	5.398352e+00	2.066712e+01	CD40LG;PRF1;CD28
KEGG_2021_Human	Melanoma	4/72	2.691341e-02	1.946736e-01	0	0	3.710422e+00	1.341366e+01	PDGFRA;FGF7;IGF1;EGFR
